City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
351,sarakhs,36.5449,61.1577,7.38,52,23,5.21,IR,1707073356
352,usogorsk,63.4106,48.6872,-14.5,95,100,3.98,RU,1707073536
353,san luis,-33.295,-66.3356,32.23,35,68,5.2,AR,1707073536
354,miri,4.4148,114.0089,24.08,100,40,1.03,MY,1707073403
355,fuqing,25.725,119.3794,12.87,97,38,1.17,CN,1707073536
356,happy valley-goose bay,53.3168,-60.3315,-17.83,60,20,1.54,CA,1707073069
357,al ghayzah,16.2079,52.176,24.28,63,6,2.63,YE,1707073331
358,antsiranana,-12.2787,49.2917,25.35,91,100,2.07,MG,1707073537
359,kolonia town,6.964,158.206,27.0,83,100,4.63,FM,1707073537
360,susuman,62.7833,148.1667,-28.9,99,100,1.34,RU,1707072984
